,Unnamed: 0,heading,website,code,status
98,8,Croperto KG,http://www.croperto.com,404.0,Not Found
99,9,Cubion Immobilien AG Niederlassung Essen,http://www.cubion.de,200.0,OK
100,0,Dritte Ruhrstadt Grundbesitz GmbH & Co KG Immobilien,http://www.ruhrstadt-grundbesitz.de,403.0,OK
101,1,Ebert GmbH & Co. KG,http://www.zeche-bonifacius.de,200.0,OK
102,2,Engel & Völkers Gewerbeimmobilien Rheinland GmbH & Co.KG Immobilien,http://www.engelvoelkers.com,200.0,OK
103,3,Eusterbrock GmbH & Co. KG Immobilienverwaltung,http://www.targetmail.de,200.0,OK
104,4,"Gassmann GmbH & Co. KG, Karl Fr.",http://www.kennedyplatz6.de,200.0,OK
105,5,GfI Gesellschaft für Immobilienkonzepte mbH,http://www.bonität-online.com,200.0,OK
106,6,Girardethaus Gebäudeverwaltungs GmbH Immobilienverwaltung,http://www.dasgirardethaus.de,200.0,OK
107,7,Goymann & Görgen GbR quadrat 2,http://www.quadrat-2.de,200.0,OK
108,8,Grips Immobilien-Vermittlung,http://www.grips-immobilien.de,200.0,OK
109,9,Groß Immobilien,http://www.gross-immobilien.de,200.0,OK
110,0,Gründerzentrumgesellschaft Prosper III mbH,http://www.gruenderzentrum-prosper.de,200.0,OK
111,1,Heinrich Paas GmbH & Co. KG,http://www.heinrich-paas.de,200.0,OK
112,2,Helmchen Frank Immobilienbüro,http://www.helmchen-immobilien.de,200.0,OK
113,3,HomeCompany Services GmbH,http://www.essen.homecompany.de,200.0,OK
114,4,HouseConcept e.K. Uwe Pastoors Immobilienbüro,http://www.houseconcept.de,200.0,OK
115,5,Hüsch Immobilien Bastian Hüsch,http://www.huesch-immobilien.de,200.0,OK
116,6,IKG Immobilien Kellner GmbH,http://www.ikg-essen.de,404.0,Not Found
117,7,Immo-Tec GmbH,http://www.immo-tec-gmbh.de,404.0,Not Found
118,8,Immo2you GmbH,http://www.imofin.de,200.0,OK
119,9,Immobilien Expertise GmbH,http://www.hypessen.de,404.0,Not Found
120,0,ImmoStore GmbH,http://www.immostore-immobilien.de,200.0,OK
121,1,iSERMANN Immobilien GmbH,http://www.isermann.immobilien,200.0,OK
122,2,JM Immobilienverwaltung GmbH Immobilienverwaltung,http://www.jm-immobilienverwaltung.de,200.0,OK
123,3,KAISER IMMOBILIEN GmbH,http://www.home.immobilienscout24.de/27Htg,404.0,Not Found
124,4,Kaiser-Kälte GmbH,,404.0,Not Found
125,5,Kaiser Kälte GmbH,,404.0,Not Found
126,6,Kaminski Immobilien Service GmbH Immobilienbüro,http://www.kaminski-essen.de,404.0,Not Found
127,7,Kempe Immobilien e.K. Immobilienberatung,http://www.kempe.de,200.0,OK
